"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"144",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2023,64.8,63.2,0,0,280,0.6
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2023,59.2,49.8,0,0,250,0.418181818181818
"146",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,71.1,68.2,0,0,254,0.442424242424242
"147",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,43.3,32.6,0,0,218,0.224242424242424
"148",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,66.2,63.4,0,0,233,0.315151515151515
"149",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2023,56,54.9,0.05,1,283,0.618181818181818
"150",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,45.9,36.2,0,0,268,0.35546875
"151",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2023,54.1,46,0.21,0,291,0.666666666666667
"152",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,46.2,44.7,0.17,1,186,0.0303030303030303
"153",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2023,60.7,55.8,0,0,276,0.575757575757576
"154",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,48.1,45.2,0.4,1,271,0.545454545454545
"155",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022,42.6,29.7,0,0,298,0.581005586592179
"156",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,36.9,24.9,0,0,266,0.402234636871508
"157",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,75.2,72.9,0,1,283,0.497206703910615
"158",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2022,64.5,60.8,0.14,0,250,0.312849162011173
"159",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022,56.5,35.8,0,0,231,0.206703910614525
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2023,60.1,52.7,0.02,0,268,0.527272727272727
"161",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2022,45.2,40.2,0,0,295,0.564245810055866
"162",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022,46.8,36.8,0.01,0,240,0.256983240223464
"163",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,30.2,20.6,0.05,0,255,0.340782122905028
"164",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,49.6,43.5,0.64,0,256,0.346368715083799
"165",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,71.6,66.5,0,0,326,0.58203125
"166",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2021,43.1,27.3,0.21,0,340,0.63671875
"167",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,43.1,38.3,0.05,0,221,0.171875
"168",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2021,53.1,47.9,0,1,327,0.5859375
"169",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,37,29.1,0,0,279,0.3984375
"170",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,41.8,41.6,1.09,1,238,0.23828125
"171",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,36.2,19.8,0.6,0,258,0.357541899441341
"172",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,45.7,43.2,0.73,1,279,0.474860335195531
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,76.6,70,0.23,0,276,0.458100558659218
"174",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2022,46.2,24.9,0,0,290,0.536312849162011
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2022,62.7,57.9,0,0,307,0.631284916201117
"176",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,66.7,66.4,0,1,223,0.254545454545455
"177",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2023,49.1,38.4,0.01,0,274,0.563636363636364
"178",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2023,59.7,54.6,0.04,0,272,0.551515151515152
"179",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2023,53.8,49.9,0.03,0,273,0.557575757575758
"180",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,35.8,23.9,0,0,261,0.328125
