"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"336",5,47.5,44.9,0.19,0,276,0.575757575757576
"337",5,71.9,69.7,0.01,1,228,0.284848484848485
"338",5,66.8,65.8,0.53,1,241,0.363636363636364
"339",5,58.2,51.2,0.02,0,259,0.472727272727273
"340",5,39.1,30.8,0,0,283,0.618181818181818
"341",5,40.4,30.2,0.25,0,214,0.2
"342",5,41.2,37.7,0,0,264,0.503030303030303
"343",5,37.4,31.2,0.01,0,220,0.16796875
"344",5,78.2,71.3,0,0,336,0.62109375
"345",5,53.4,48.6,0,0,283,0.4140625
"346",5,38.3,27.4,0,0,221,0.150837988826816
"347",5,41.5,36.7,0,0,268,0.41340782122905
"348",5,66.8,62.2,0.04,1,304,0.614525139664804
"349",5,73.2,67.1,0.03,0,290,0.536312849162011
"350",5,36.3,24.3,0.01,0,272,0.435754189944134
"351",5,61.8,56.8,0,0,315,0.675977653631285
"352",5,74.7,64.5,0.04,0,287,0.519553072625698
"353",5,54.6,49.7,0.46,0,303,0.608938547486033
"354",5,49.1,45.8,0.16,1,300,0.592178770949721
"355",5,76,72,0,1,293,0.553072625698324
"356",5,62.5,56.6,0,0,265,0.396648044692737
"357",5,64.7,59,0,0,335,0.787709497206704
"358",5,44,32.5,0,0,264,0.503030303030303
"359",5,50.8,45.5,0.04,0,262,0.490909090909091
"360",5,51.4,41.3,0,0,267,0.521212121212121
"361",5,42.8,37.1,0,0,221,0.242424242424242
"362",5,68.6,67.9,0,1,278,0.587878787878788
"363",5,39.8,30.4,0,0,274,0.563636363636364
"364",5,55.8,51.1,0,0,266,0.515151515151515
"365",5,66.7,57.6,0,0,255,0.448484848484848
"366",5,50.2,33.8,0,0,297,0.575418994413408
"367",5,57.9,50.6,0.04,0,312,0.659217877094972
"368",5,35.5,20.7,0,0,255,0.340782122905028
"369",5,52.1,49,0.01,1,251,0.318435754189944
"370",5,34.7,25.5,0.01,0,253,0.296875
"371",5,42.2,29.5,0,0,285,0.421875
"372",5,43.9,36.4,0.01,0,192,0.05859375
"373",5,52.5,44.4,0.04,1,380,0.79296875
"374",5,31.3,15.1,0,0,266,0.402234636871508
"375",5,38.5,29.4,0,0,286,0.513966480446927
"376",5,36.1,20.7,0,0,261,0.374301675977654
"377",5,53.6,51.3,0.15,0,298,0.581005586592179
"378",5,49.7,34.5,0,0,283,0.497206703910615
"379",5,69.6,69.6,0.01,1,258,0.466666666666667
"380",5,58.8,53.2,0,0,268,0.527272727272727
"381",5,36.9,27.8,0,0,256,0.454545454545455
"382",5,69.4,64.2,0,0,289,0.4375
"383",5,68.9,64.6,0,1,353,0.6875
"384",5,68.4,63.7,0,0,291,0.4453125
"385",5,48.2,44.4,0,1,274,0.563636363636364
"386",5,48.1,34,0,0,267,0.521212121212121
"387",5,62.6,58.5,0,0,289,0.654545454545455
"388",5,73.1,69.4,0,0,269,0.533333333333333
"389",5,61.4,55.4,0,1,312,0.52734375
"390",5,52,43.3,0.03,0,296,0.569832402234637
"391",5,59.2,45.4,0,0,336,0.793296089385475
"392",5,46.9,44.3,0.31,0,253,0.329608938547486
"393",5,44.1,34.3,0.07,0,246,0.290502793296089
"394",5,70.2,62.5,0.08,0,261,0.374301675977654
"395",5,63.2,62.1,0.48,1,244,0.279329608938547
"396",5,38.1,14.3,0,0,285,0.508379888268156
"397",5,45.7,39.5,0,1,311,0.653631284916201
"398",5,75.2,71,0,0,231,0.206703910614525
"399",5,50.2,43.4,0,0,303,0.4921875
"400",5,39.9,29.5,0.16,0,287,0.4296875
"401",5,67.9,58.6,0,0,370,0.75390625
"402",5,48.8,47.2,0.02,1,339,0.6328125
"403",5,73.1,65.6,0,0,334,0.61328125
"404",5,72.7,66.4,0,0,334,0.61328125
"405",5,62.9,48.6,0,0,347,0.6640625
"406",5,56.7,40.9,0,0,234,0.321212121212121
